Data; Último Star 
01/01/2014; R$ 35,56 
01/02/2014; R$ 35,48 
01/03/2014; R$ 36,69 
01/04/2014; R$ 35,31 
01/05/2014; R$ 36,62 
01/06/2014; R$ 38,69 
01/07/2014; R$ 38,84 
01/08/2014; R$ 38,90 
01/09/2014; R$ 37,73 
01/10/2014; R$ 37,78 
01/11/2014; R$ 40,60 
01/12/2014; R$ 41,03 
01/01/2015; R$ 43,76 
01/02/2015; R$ 46,74 
01/03/2015; R$ 47,35 
01/04/2015; R$ 49,58 
01/05/2015; R$ 51,96 
01/06/2015; R$ 53,62 
01/07/2015; R$ 57,93 
01/08/2015; R$ 54,71 
01/09/2015; R$ 56,84 
01/10/2015; R$ 62,57 
01/11/2015; R$ 61,39 
01/12/2015; R$ 60,03 
01/01/2016; R$ 60,77 
01/02/2016; R$ 58,21 
01/03/2016; R$ 59,70 
01/04/2016; R$ 56,23 
01/05/2016; R$ 54,89 
01/06/2016; R$ 57,12 
01/07/2016; R$ 58,05 
01/08/2016; R$ 56,23 
01/09/2016; R$ 54,14 
01/10/2016; R$ 53,07 
01/11/2016; R$ 57,97 
01/12/2016; R$ 55,52 
01/01/2017; R$ 55,22 
01/02/2017; R$ 56,87 
01/03/2017; R$ 58,39 
01/04/2017; R$ 60,06 
01/05/2017; R$ 63,61 
01/06/2017; R$ 58,31 
01/07/2017; R$ 53,98 
01/08/2017; R$ 54,86 
01/09/2017; R$ 53,71 
01/10/2017; R$ 54,84 
01/11/2017; R$ 57,82 
01/12/2017; R$ 57,43 
01/01/2018; R$ 56,81 
01/02/2018; R$ 57,10 
01/03/2018; R$ 57,89 
01/04/2018; R$ 57,57 
01/05/2018; R$ 56,67 
01/06/2018; R$ 48,85 
01/07/2018; R$ 52,39 
01/08/2018; R$ 53,45 
01/09/2018; R$ 56,84 
01/10/2018; R$ 58,27 
01/11/2018; R$ 66,72 
01/12/2018; R$ 64,40 
01/01/2019; R$ 68,14 
01/02/2019; R$ 70,26 
01/03/2019; R$ 74,34 
01/04/2019; R$ 77,68 
01/05/2019; R$ 76,06 
01/06/2019; R$ 83,83 
01/07/2019; R$ 94,69 
01/08/2019; R$ 96,56 
01/09/2019; R$ 88,42 
01/10/2019; R$ 84,56 
01/11/2019; R$ 85,43 
01/12/2019; R$ 87,92 
01/01/2020; R$ 84,83 
01/02/2020; R$ 78,43 
01/03/2020; R$ 65,74 
01/04/2020; R$ 76,73 
01/05/2020; R$ 77,99 
01/06/2020; R$ 73,59 
01/07/2020; R$ 76,53 
01/08/2020; R$ 84,47 
01/09/2020; R$ 85,92 
01/10/2020; R$ 86,96 
01/11/2020; R$ 98,02 
01/12/2020; R$ 106,98 
01/01/2021; R$ 96,81 
01/02/2021; R$ 108,03 
01/03/2021; R$ 109,27 
01/04/2021; R$ 114,49 
01/05/2021; R$ 113,88 
01/06/2021; R$ 111,81 
01/07/2021; R$ 121,43 
01/08/2021; R$ 117,49 
01/09/2021; R$ 110,31 
01/10/2021; R$ 106,07 
01/11/2021; R$ 109,64 
01/12/2021; R$ 116,97 
01/01/2022; R$ 98,32 
01/02/2022; R$ 91,79 
01/03/2022; R$ 90,97 
01/04/2022; R$ 74,64 
01/05/2022; R$ 78,50 
01/06/2022; R$ 76,39 
01/07/2022; R$ 84,78 
01/08/2022; R$ 84,07 
01/09/2022; R$ 84,26 
01/10/2022; R$ 86,59 
01/11/2022; R$ 102,20 
01/12/2022; R$ 99,20 
01/01/2023; R$ 109,14 
01/02/2023; R$ 102,09 
01/03/2023; R$ 104,13 
01/04/2023; R$ 114,29 
01/05/2023; R$ 97,64 
01/06/2023; R$ 99,06 
01/07/2023; R$ 101,57 
01/08/2023; R$ 97,44 
01/09/2023; R$ 91,27 
01/10/2023; R$ 92,24 
01/11/2023; R$ 99,30 
01/12/2023; R$ 96,01 
01/01/2024; R$ 93,03 
01/02/2024; R$ 94,90 
01/03/2024; R$ 91,39 
01/04/2024; R$ 88,49 
01/05/2024; R$ 80,22 
01/06/2024; R$ 77,85 
01/07/2024; R$ 77,95 
01/08/2024; R$ 94,57 
01/09/2024; R$ 97,49 
01/10/2024; R$ 97,70 
01/11/2024; R$ 102,46 
01/12/2024; R$ 91,25 
